Text_Type,Book,Chapter,Window,Mean,StDev,normalised
SN,CS,kalpa,134,13.17,10.54,5.282973039
SN,CS,kalpa,639,13.17,18.92,5.282973039
SN,CS,kalpa,150,13.21,12.41,5.331552101
SN,CS,kalpa,230,13.21,17.45,5.331552101
SN,CS,kalpa,310,13.26,19.65,5.392275929
SN,CS,kalpa,176,13.27,11.31,5.404420695
SN,CS,kalpa,234,13.27,16.99,5.404420695
SN,CS,kalpa,285,13.27,16.41,5.404420695
SN,CS,kalpa,613,13.3,18.94,5.440854991
SN,CS,kalpa,596,13.31,19.36,5.452999757
SN,CS,kalpa,251,13.32,16.23,5.465144523
SN,CS,kalpa,582,13.32,15.77,5.465144523
SN,CS,kalpa,290,13.33,16.44,5.477289288
SN,CS,kalpa,173,13.34,10.43,5.489434054
SN,CS,kalpa,490,13.34,14.71,5.489434054
SN,CS,kalpa,171,13.35,10.57,5.50157882
SN,CS,kalpa,172,13.35,10.57,5.50157882
SN,CS,kalpa,343,13.35,10.56,5.50157882
SN,CS,kalpa,135,13.36,10.56,5.513723585
SN,CS,kalpa,237,13.37,16.9,5.525868351
SN,CS,kalpa,341,13.39,10.89,5.550157882
SN,CS,kalpa,170,13.4,10.52,5.562302648
SN,CS,kalpa,364,13.4,13.13,5.562302648
SN,CS,kalpa,138,13.41,10.97,5.574447413
SN,CS,kalpa,309,13.41,19.89,5.574447413
SN,CS,kalpa,293,13.42,17.97,5.586592179
SN,CS,kalpa,354,13.44,11.33,5.61088171
SN,CS,kalpa,400,13.46,14.87,5.635171241
SN,CS,kalpa,232,13.48,17.39,5.659460772
SN,CS,kalpa,643,13.48,19.08,5.659460772
SN,CS,kalpa,221,13.5,18.63,5.683750304
SN,CS,kalpa,233,13.5,17.17,5.683750304
SN,CS,kalpa,164,13.51,11.02,5.695895069
SN,CS,kalpa,404,13.52,14.82,5.708039835
SN,CS,kalpa,659,13.52,18.21,5.708039835
SN,CS,kalpa,571,13.54,15.25,5.732329366
SN,CS,kalpa,291,13.56,16.71,5.756618897
SN,CS,kalpa,166,13.58,11.06,5.780908428
SN,CS,kalpa,219,13.62,18.61,5.829487491
SN,CS,kalpa,220,13.62,18.63,5.829487491
SN,CS,kalpa,355,13.62,11.32,5.829487491
SN,CS,kalpa,357,13.62,12.13,5.829487491
SN,CS,kalpa,609,13.63,19.76,5.841632256
SN,CS,kalpa,292,13.64,17.08,5.853777022
SN,CS,kalpa,394,13.64,11.58,5.853777022
SN,CS,kalpa,493,13.64,14.32,5.853777022
SN,CS,kalpa,236,13.66,16.91,5.878066553
SN,CS,kalpa,356,13.66,11.94,5.878066553
SN,CS,kalpa,472,13.66,15.61,5.878066553
SN,CS,kalpa,386,13.69,11.96,5.91450085
SN,CS,kalpa,393,13.69,11.8,5.91450085
SN,CS,kalpa,294,13.7,18.35,5.926645616
SN,CS,kalpa,494,13.7,14.24,5.926645616
SN,CS,kalpa,569,13.71,15.39,5.938790381
SN,CS,kalpa,471,13.72,15.64,5.950935147
SN,CS,kalpa,169,13.73,10.53,5.963079913
SN,CS,kalpa,342,13.74,10.73,5.975224678
SN,CS,kalpa,642,13.74,19.39,5.975224678
