Text_Type,Book,Chapter,Window,Mean,StDev,nomalised
SN,CS,siddi,484,28.85,34.46,4.695942627
SN,CS,siddi,435,28.86,31.25,4.705766775
SN,CS,siddi,625,28.86,33.35,4.705766775
SN,CS,siddi,1362,28.86,28.71,4.705766775
SN,CS,siddi,1027,28.87,32.84,4.715590922
SN,CS,siddi,297,28.89,31.15,4.735239218
SN,CS,siddi,471,28.89,34.64,4.735239218
SN,CS,siddi,687,28.89,32.46,4.735239218
SN,CS,siddi,1247,28.89,25.73,4.735239218
SN,CS,siddi,472,28.91,35.05,4.754887514
SN,CS,siddi,821,28.93,29.91,4.774535809
SN,CS,siddi,344,28.94,35.01,4.784359957
SN,CS,siddi,654,28.94,34.78,4.784359957
SN,CS,siddi,642,28.95,34.65,4.794184105
SN,CS,siddi,1244,28.95,21.56,4.794184105
SN,CS,siddi,784,28.97,31.74,4.8138324
SN,CS,siddi,1346,28.97,34.72,4.8138324
SN,CS,siddi,460,28.98,35.09,4.823656548
SN,CS,siddi,688,28.99,32.15,4.833480696
SN,CS,siddi,1333,28.99,31.53,4.833480696
SN,CS,siddi,413,29.02,32.77,4.862953139
SN,CS,siddi,1347,29.04,34.26,4.882601434
SN,CS,siddi,1380,29.04,27.68,4.882601434
SN,CS,siddi,516,29.05,33.82,4.892425582
SN,CS,siddi,1245,29.05,23.86,4.892425582
SN,CS,siddi,818,29.06,31.17,4.90224973
SN,CS,siddi,1158,29.1,27.11,4.941546321
SN,CS,siddi,415,29.11,33.3,4.951370469
SN,CS,siddi,1026,29.11,33.06,4.951370469
SN,CS,siddi,445,29.12,35.25,4.961194616
SN,CS,siddi,952,29.12,28.45,4.961194616
SN,CS,siddi,301,29.13,32.27,4.971018764
SN,CS,siddi,1157,29.13,28.55,4.971018764
SN,CS,siddi,414,29.14,33.39,4.980842912
SN,CS,siddi,1350,29.14,32.73,4.980842912
SN,CS,siddi,1334,29.15,32.57,4.99066706
SN,CS,siddi,601,29.17,34.2,5.010315355
SN,CS,siddi,461,29.18,35.29,5.020139503
